cidade,pais,apelido,principais_atracoes,descricao
Paris,França,Cidade Luz,"Torre Eiffel, Museu do Louvre, Rio Sena","Centro mundial de arte, moda e gastronomia"
Roma,Itália,Cidade Eterna,"Coliseu, Vaticano, Fontana di Trevi","Mistura ruínas romanas antigas com vida moderna"
Barcelona,Espanha,-,"Sagrada Família, Park Güell, praias","Arquitetura modernista de Gaudí, vida noturna vibrante"
Berlim,Alemanha,-,"Portão de Brandemburgo, Memorial do Holocausto, Muro de Berlim","Cidade de contrastes marcada pela história"
Praga,República Tcheca,Cidade das Cem Torres,"Castelo de Praga, Ponte Carlos, Relógio Astronômico","Centro histórico bem preservado"
Amsterdã,Holanda,-,"Canais, Rijksmuseum, Casa de Anne Frank","Famosa por canais, bicicletas e museus"
Lisboa,Portugal,-,"Elétricos, Alfama, bacalhau, pastéis de nata","Azulejos coloridos, bairros históricos, culinária"
Viena,Áustria,Berço da música clássica,"Palácio Schönbrunn, Ópera Estatal, cafés vienenses","Elegante e sofisticada"
Budapeste,Hungria,-,"Parlamento Húngaro, Castelo de Buda, banhos termais","Mistura de história e beleza natural"
Dublin,Irlanda,-,"Pubs tradicionais, Trinity College, Guinness Storehouse","Cidade animada, famosa por música e literatura"
